review,rating,date,bank,source
I love Chase. I am very satisfied in our dealings together & sometime soon look forward to traveling again. I would definitely recommend them to anyone,5,2025-06-05,Chase,Google Play Store
love this !!,5,2025-06-05,Chase,Google Play Store
ridiculously hard to use Affirm is way easier,1,2025-06-05,Chase,Google Play Store
works great,5,2025-06-05,Chase,Google Play Store
I just love this bank. it's a great online resource and I enjoy all the rewards and points using my card!,5,2025-06-05,Chase,Google Play Store
great,5,2025-06-05,Chase,Google Play Store
"Great sense of security with Chase, they have my back.",5,2025-06-05,Chase,Google Play Store
Great app!!!,5,2025-06-05,Chase,Google Play Store
Great app 👌,5,2025-06-05,Chase,Google Play Store
easy to use app,5,2025-06-05,Chase,Google Play Store
"horrible app and horrible company. it's hard to get through and talk to anybody on the phone. I've had my account for over 10 years and they haven't lowered my rates once despite calling and asking. the app keeps wanting to verify my identity and I've scanned my ID numerous times at this point and it won't accept it. I've already gone online and updated all the info I need, but yet the god damn app won't let me in. Just an overall terrible company.",1,2025-06-05,Chase,Google Play Store
"these people do not listen, even when they say they understand. I told chase that this charge was a scam, they said they understood but they lied. not only did the people where this scam occurred from, sent me a notification telling me that a scam is a working advertisement, and when I went online to research this organization, the internet says it is a scam. these people take care of my money and when they reversed my claim against this scam, well that there says they don't care about me or my",1,2025-06-05,Chase,Google Play Store
easy to use,5,2025-06-05,Chase,Google Play Store
no 2FA through a third party authenticator app? are they kidding?,1,2025-06-04,Chase,Google Play Store
love it,5,2025-06-04,Chase,Google Play Store
"the best bank I've ever worked with courteous respectfull ,more than I could ask for thanks for your service..",4,2025-06-04,Chase,Google Play Store
"Easy to use, nice design, clean feeling. I've said it once before and I'll say it again with more detail. The cash back feature on this app is my favorite. It beats other banking apps that I've used. Other apps will only allow cash back as a statement credit. Chase gives you the option of statement credit or cash back sent to another checking account. Because of this, I am willing to keep using chase instead of other banks. Thank you, Chase.",5,2025-06-04,Chase,Google Play Store
terrible,1,2025-06-04,Chase,Google Play Store
i love CHASE BANK,5,2025-06-04,Chase,Google Play Store
they've been great to me for 4 years now,5,2025-06-04,Chase,Google Play Store
I Love This Bank! Very Easy To Operate the Banking App!,5,2025-06-04,Chase,Google Play Store
I think that Chase Mobile Banking app should show all of your subscriptions & whatever is taken out of bank account that your paying for & if you want to cancel them your able to do so .,3,2025-06-04,Chase,Google Play Store
very easy to use app,5,2025-06-04,Chase,Google Play Store
I love my Chase card!!!,5,2025-06-04,Chase,Google Play Store
when I have a problem they are right on top of it and take care of it,5,2025-06-04,Chase,Google Play Store
"Don't use this bank or app unless you want to be constantly asked what you are doing with your money and whatnot. I understand that scamming has become more rampant lately, but good grief. Why I got to explain myself about what I do with my money? Also, if they close your account(s), don't expect an answer if you ask them. They'll just tell you that they don't know when they clearly do. (As a former customer, I feel like I have the right to know why my account(s) were closed)",1,2025-06-04,Chase,Google Play Store
great bank,5,2025-06-04,Chase,Google Play Store
The app is easy to use! Love it!,5,2025-06-04,Chase,Google Play Store
Love having all my Chase accounts in one place.,5,2025-06-04,Chase,Google Play Store
always so so nice here! wish they could get new/ better working arms? tho,5,2025-06-04,Chase,Google Play Store
best app ever,5,2025-06-04,Chase,Google Play Store
19.4% interest rate is usurious but it's Amerikkka where everything is criminally corrupt.,1,2025-06-04,Chase,Google Play Store
best ever,5,2025-06-04,Chase,Google Play Store
always great customer service.,5,2025-06-04,Chase,Google Play Store
wat to much advertising for other credit cards but other then that good product.,4,2025-06-04,Chase,Google Play Store
very easy to use,5,2025-06-04,Chase,Google Play Store
too quick to cut off credit need to change their policy,2,2025-06-04,Chase,Google Play Store
Convenient!,5,2025-06-04,Chase,Google Play Store
Neither the Chase app or website work for me. I give up trying.,2,2025-06-03,Chase,Google Play Store
The app is very streamlined and easy to use.,5,2025-06-03,Chase,Google Play Store
"works well, quick, secure, 👍🔐",4,2025-06-03,Chase,Google Play Store
Always been there for me.,5,2025-06-03,Chase,Google Play Store
Best company to deal with by far. 100% pleased all around.,5,2025-06-03,Chase,Google Play Store
Decent and all but WHY do you have options to edit phone numbers or PINs on the app if I STILL HAVE TO CALL YOU OR VISIT A BRANCH TO CHANGE IT? Why even have the blasted button????,3,2025-06-03,Chase,Google Play Store
i dont like people seeing my info.,1,2025-06-03,Chase,Google Play Store
great job,5,2025-06-03,Chase,Google Play Store
use this app for the last 9 years had no problems,5,2025-06-03,Chase,Google Play Store
Won't load waste of time looking for another bank.,1,2025-06-03,Chase,Google Play Store
no raise in few years,3,2025-06-03,Chase,Google Play Store
very good,5,2025-06-03,Chase,Google Play Store
can't even log in to my app to pay my bill. chase won't let me!,1,2025-06-03,Chase,Google Play Store
Just randomly making the app unusable so I cannot access my stuff,1,2025-06-03,Chase,Google Play Store
wonderful app,5,2025-06-03,Chase,Google Play Store
As of now I have had no problems with Chase Bank.,5,2025-06-03,Chase,Google Play Store
love chase credit cards,5,2025-06-03,Chase,Google Play Store
"easy and reliable to use, its easy to understand stand from my prospective",5,2025-06-03,Chase,Google Play Store
"Chase is great. ""all is well""",5,2025-06-03,Chase,Google Play Store
knows nothing about my existing account. how am I supposed to login? I hate bank apps,1,2025-06-03,Chase,Google Play Store
"Easy, reliable, secure financial services... simple banking for my simple needs, but should I ever grow financially I know I'm right where I need to be. With all the advice I can get.",4,2025-06-03,Chase,Google Play Store
Doesn't allow notifications for when money is deposted. Can't verify new external banks. App needs work.,2,2025-06-03,Chase,Google Play Store
some features don't work and the app has become very slow,3,2025-06-03,Chase,Google Play Store
best app to check out your account balance and more.,5,2025-06-03,Chase,Google Play Store
best,5,2025-06-02,Chase,Google Play Store
This is hard to work.,4,2025-06-02,Chase,Google Play Store
the best,5,2025-06-02,Chase,Google Play Store
love the security they have and the personality of the bankers and the VP very helpful people,5,2025-06-02,Chase,Google Play Store
great banking app,5,2025-06-02,Chase,Google Play Store
I love how my card is accepted everywhere and the rewards program is great!!,5,2025-06-02,Chase,Google Play Store
nise,5,2025-06-02,Chase,Google Play Store
Excellent credit service!!!,5,2025-06-02,Chase,Google Play Store
Easy to use.,5,2025-06-02,Chase,Google Play Store
very good,4,2025-06-02,Chase,Google Play Store
👍,5,2025-06-02,Chase,Google Play Store
app is so slow now.,1,2025-06-02,Chase,Google Play Store
"The mobile Chase app (cell phone) seems to work, but I can not access Chase from my laptop. I am concerned.",1,2025-06-02,Chase,Google Play Store
good people doing good work,5,2025-06-02,Chase,Google Play Store
Love Chase rotating 5% bonus categories!,5,2025-06-02,Chase,Google Play Store
"works good for me, but when it doesn't customer service always professional and polite",5,2025-06-02,Chase,Google Play Store
it is very user friendly.,5,2025-06-02,Chase,Google Play Store
easy to use,5,2025-06-02,Chase,Google Play Store
Easy to navigate,5,2025-06-02,Chase,Google Play Store
