review,rating,date,bank,source,sentiment_label,sentiment_score
I love Chase. I am very satisfied in our dealings together & sometime soon look forward to traveling again. I would definitely recommend them to anyone,5,2025-06-05 10:34:13,Chase,Google Play Store,POSITIVE,0.999779999256134
love this !!,5,2025-06-05 10:01:43,Chase,Google Play Store,POSITIVE,0.9998786449432373
ridiculously hard to use Affirm is way easier,1,2025-06-05 09:47:19,Chase,Google Play Store,NEGATIVE,0.997616171836853
works great,5,2025-06-05 08:26:35,Chase,Google Play Store,POSITIVE,0.9998718500137329
I just love this bank. it's a great online resource and I enjoy all the rewards and points using my card!,5,2025-06-05 08:25:16,Chase,Google Play Store,POSITIVE,0.999883770942688
great,5,2025-06-05 07:17:10,Chase,Google Play Store,POSITIVE,0.9998630285263062
"Great sense of security with Chase, they have my back.",5,2025-06-05 07:07:08,Chase,Google Play Store,POSITIVE,0.9994076490402222
Great app!!!,5,2025-06-05 06:37:36,Chase,Google Play Store,POSITIVE,0.9998501539230347
Great app 👌,5,2025-06-05 06:32:56,Chase,Google Play Store,POSITIVE,0.9993553757667542
easy to use app,5,2025-06-05 05:37:49,Chase,Google Play Store,POSITIVE,0.9944214224815369
"horrible app and horrible company. it's hard to get through and talk to anybody on the phone. I've had my account for over 10 years and they haven't lowered my rates once despite calling and asking. the app keeps wanting to verify my identity and I've scanned my ID numerous times at this point and it won't accept it. I've already gone online and updated all the info I need, but yet the god damn app won't let me in. Just an overall terrible company.",1,2025-06-05 04:53:47,Chase,Google Play Store,NEGATIVE,0.9980702996253967
"these people do not listen, even when they say they understand. I told chase that this charge was a scam, they said they understood but they lied. not only did the people where this scam occurred from, sent me a notification telling me that a scam is a working advertisement, and when I went online to research this organization, the internet says it is a scam. these people take care of my money and when they reversed my claim against this scam, well that there says they don't care about me or my",1,2025-06-05 03:12:46,Chase,Google Play Store,NEGATIVE,0.9992879033088684
easy to use,5,2025-06-05 02:37:28,Chase,Google Play Store,POSITIVE,0.9988542795181274
no 2FA through a third party authenticator app? are they kidding?,1,2025-06-04 23:45:37,Chase,Google Play Store,NEGATIVE,0.9989830851554871
love it,5,2025-06-04 22:38:39,Chase,Google Play Store,POSITIVE,0.9998753070831299
"the best bank I've ever worked with courteous respectfull ,more than I could ask for thanks for your service..",4,2025-06-04 22:13:50,Chase,Google Play Store,POSITIVE,0.9998082518577576
"Easy to use, nice design, clean feeling. I've said it once before and I'll say it again with more detail. The cash back feature on this app is my favorite. It beats other banking apps that I've used. Other apps will only allow cash back as a statement credit. Chase gives you the option of statement credit or cash back sent to another checking account. Because of this, I am willing to keep using chase instead of other banks. Thank you, Chase.",5,2025-06-04 20:28:13,Chase,Google Play Store,POSITIVE,0.9993525147438049
terrible,1,2025-06-04 18:42:11,Chase,Google Play Store,NEGATIVE,0.999752938747406
i love CHASE BANK,5,2025-06-04 18:22:54,Chase,Google Play Store,POSITIVE,0.9998356103897095
they've been great to me for 4 years now,5,2025-06-04 18:19:34,Chase,Google Play Store,POSITIVE,0.9995385408401489
I Love This Bank! Very Easy To Operate the Banking App!,5,2025-06-04 17:54:16,Chase,Google Play Store,POSITIVE,0.9997889399528503
I think that Chase Mobile Banking app should show all of your subscriptions & whatever is taken out of bank account that your paying for & if you want to cancel them your able to do so .,3,2025-06-04 17:36:33,Chase,Google Play Store,NEGATIVE,0.9992363452911377
very easy to use app,5,2025-06-04 16:03:09,Chase,Google Play Store,POSITIVE,0.9974349141120911
