review,rating,date,bank,source,sentiment_label,sentiment_score,cleaned_review,identified_theme
I love Chase. I am very satisfied in our dealings together & sometime soon look forward to traveling again. I would definitely recommend them to anyone,5,2025-06-05 10:34:13,Chase,Google Play Store,POSITIVE,0.999779999256134,love chase satisfied dealing soon look forward travel definitely recommend,Other
love this !!,5,2025-06-05 10:01:43,Chase,Google Play Store,POSITIVE,0.9998786449432372,love,Other
ridiculously hard to use Affirm is way easier,1,2025-06-05 09:47:19,Chase,Google Play Store,NEGATIVE,0.997616171836853,ridiculously hard use affirm way easy,Other
works great,5,2025-06-05 08:26:35,Chase,Google Play Store,POSITIVE,0.9998718500137328,work great,Other
I just love this bank. it's a great online resource and I enjoy all the rewards and points using my card!,5,2025-06-05 08:25:16,Chase,Google Play Store,POSITIVE,0.999883770942688,love bank great online resource enjoy reward point card,Other
great,5,2025-06-05 07:17:10,Chase,Google Play Store,POSITIVE,0.9998630285263062,great,Other
"Great sense of security with Chase, they have my back.",5,2025-06-05 07:07:08,Chase,Google Play Store,POSITIVE,0.9994076490402222,great sense security chase,Other
Great app!!!,5,2025-06-05 06:37:36,Chase,Google Play Store,POSITIVE,0.9998501539230348,great app,Other
Great app 👌,5,2025-06-05 06:32:56,Chase,Google Play Store,POSITIVE,0.9993553757667542,great app,Other
easy to use app,5,2025-06-05 05:37:49,Chase,Google Play Store,POSITIVE,0.9944214224815368,easy use app,Other
"horrible app and horrible company. it's hard to get through and talk to anybody on the phone. I've had my account for over 10 years and they haven't lowered my rates once despite calling and asking. the app keeps wanting to verify my identity and I've scanned my ID numerous times at this point and it won't accept it. I've already gone online and updated all the info I need, but yet the god damn app won't let me in. Just an overall terrible company.",1,2025-06-05 04:53:47,Chase,Google Play Store,NEGATIVE,0.9980702996253968,horrible app horrible company hard talk anybody phone account year lower rate despite call ask app keep want verify identity scan d numerous time point will accept go online update info need god damn app will let overall terrible company,Other
"these people do not listen, even when they say they understand. I told chase that this charge was a scam, they said they understood but they lied. not only did the people where this scam occurred from, sent me a notification telling me that a scam is a working advertisement, and when I went online to research this organization, the internet says it is a scam. these people take care of my money and when they reversed my claim against this scam, well that there says they don't care about me or my",1,2025-06-05 03:12:46,Chase,Google Play Store,NEGATIVE,0.9992879033088684,people listen understand tell chase charge scam say understand lie people scam occur send notification tell scam work advertisement go online research organization internet say scam people care money reverse claim scam say care,Other
easy to use,5,2025-06-05 02:37:28,Chase,Google Play Store,POSITIVE,0.9988542795181274,easy use,Other
no 2FA through a third party authenticator app? are they kidding?,1,2025-06-04 23:45:37,Chase,Google Play Store,NEGATIVE,0.9989830851554872,party authenticator app kid,Other
love it,5,2025-06-04 22:38:39,Chase,Google Play Store,POSITIVE,0.99987530708313,love,Other
"the best bank I've ever worked with courteous respectfull ,more than I could ask for thanks for your service..",4,2025-06-04 22:13:50,Chase,Google Play Store,POSITIVE,0.9998082518577576,good bank work courteous respectfull ask thank service,Other
